pango_lineage,color
AY.103,#851bb1
AY.25,#851bb1
B.1.517,#398dda
BA.1,#1b55b1
BA.1.1,#1b55b1
BA.1.1.1,#1b55b1
BA.1.1.14,#1b55b1
BA.1.1.16,#1b55b1
BA.1.1.18,#1b55b1
BA.1.17.2,#1b55b1
BA.1.20,#1b55b1
BA.1.15,#1b55b1
BA.1.20,#1b55b1
BA.2,#e8a93d
BA.2.1,#e8a93d
BA.2.10,#e8a93d
BA.2.10.1,#e8a93d
BA.2.12,#e8a93d
BA.2.12.1,#e8a93d
BA.2.13,#e8a93d
BA.2.14,#e8a93d
BA.2.18,#e8a93d
BA.2.20,#e8a93d
BA.2.22,#e8a93d
BA.2.23,#e8a93d
BA.2.26,#e8a93d
BA.2.28,#e8a93d
BA.2.3,#e8a93d
BA.2.3.2,#e8a93d
BA.2.3.4,#e8a93d
BA.2.3.4,#e8a93d
BA.2.31,#e8a93d
BA.2.32,#e8a93d
BA.2.4,#e8a93d
BA.2.5,#e8a93d
BA.2.6,#e8a93d
BA.2.7,#e8a93d
BA.2.8,#e8a93d
BA.2.9,#e8a93d
BA.2.9,#e8a93d
BA.2.9.2,#e8a93d
BA.4,#f7dd47
BA.5,#0a0800
BA.XE,#b8b4ac